Transaction Number,Item1,Item2,Item3,Item4,Item5,Item6,Item7
1,Bread,Wine,Eggs,Meat,Cheese,Pencil,Diaper
2,Bread,Cheese,Meat,Diaper,Wine,Milk,Pencil
3,Cheese,Meat,Eggs,Milk,Wine,,
4,Cheese,Meat,Eggs,Milk,Wine,,
5,Meat,Pencil,Wine,,,,
6,Eggs,Bread,Wine,Pencil,Milk,Diaper,Bagel
7,Wine,Pencil,Eggs,Cheese,,,
8,Bagel,Bread,Milk,Pencil,Diaper,,
9,Bread,Diaper,Cheese,Milk,Wine,Eggs,
10,Bagel,Wine,Diaper,Meat,Pencil,Eggs,Cheese
11,Cheese,Meat,Eggs,Milk,Wine,,
12,Bagel,Eggs,Meat,Bread,Diaper,Wine,Milk
13,Bread,Diaper,Pencil,Bagel,Meat,,
14,Bagel,Cheese,Milk,Meat,,,
15,Bread,,,,,,
16,Pencil,Diaper,Bagel,,,,
17,Meat,Bagel,Bread,,,,
18,Bread,Bagel,Milk,,,,
19,Diaper,,,,,,
20,Bagel,Cheese,Meat,Bread,Diaper,Eggs,
21,Meat,Pencil,Cheese,Bread,,,
22,Cheese,Eggs,Wine,Bread,Milk,Pencil,Meat
23,Eggs,Bagel,Cheese,Meat,Diaper,,
24,Diaper,Wine,Eggs,Pencil,Meat,,
25,Diaper,Meat,Milk,Bread,Bagel,Cheese,
26,Pencil,,,,,,
27,Cheese,Meat,Eggs,Milk,Wine,,
28,Diaper,Meat,Bread,Pencil,Wine,Cheese,Milk
29,Bread,Bagel,,,,,
30,Meat,Bread,Eggs,Cheese,Milk,Diaper,
31,Diaper,Meat,,,,,
32,Cheese,Bagel,Bread,Diaper,Wine,,
33,Cheese,Milk,Bread,,,,
34,Bread,Bagel,Milk,,,,
35,Diaper,Bread,Wine,Meat,Bagel,,
36,Bread,Cheese,Milk,Wine,Diaper,,
37,Bread,Bagel,Milk,,,,
38,Bread,Bagel,Milk,,,,
39,Eggs,,,,,,
40,Bread,Bagel,Milk,,,,
41,Bread,Bagel,Milk,,,,
42,Meat,,,,,,
43,Eggs,Wine,Milk,Cheese,Pencil,Bagel,Bread
44,Bagel,Eggs,,,,,
45,Diaper,Wine,Meat,,,,
46,Diaper,Bread,Bagel,Eggs,Wine,Milk,Cheese
47,Cheese,Meat,Eggs,Milk,,,
48,Eggs,Wine,,,,,
49,Cheese,Meat,Eggs,Milk,Wine,,
50,Wine,Milk,,,,,
51,Diaper,,,,,,
52,Wine,Bread,Bagel,Diaper,Milk,,
53,Cheese,Meat,Eggs,Milk,Wine,,
54,Cheese,Meat,Eggs,Milk,,,
55,Cheese,Diaper,Meat,Wine,Bread,,
56,Wine,Milk,Diaper,Pencil,Cheese,Eggs,
57,Cheese,Eggs,Meat,Diaper,Wine,Milk,Bread
58,Diaper,Eggs,,,,,
59,Cheese,Meat,Eggs,Milk,Wine,,
60,Wine,Cheese,Bagel,Pencil,Bread,Meat,Diaper
61,Milk,Pencil,Cheese,Bagel,,,
62,Meat,Cheese,Diaper,Wine,,,
63,Bread,Bagel,Milk,,,,
64,Bread,Meat,Pencil,Milk,Wine,Diaper,
65,Pencil,Cheese,Diaper,Wine,Eggs,,
66,Bread,Diaper,Milk,Pencil,Cheese,Eggs,
67,Pencil,Milk,Cheese,,,,
68,Eggs,Bagel,Bread,,,,
